,ºÐ·ù,¸íÄª,À§µµ,°æµµ
0,CCTV,¿ª»ïµ¿ 722-9 (¿ª»ï2µ¿¼º´ç ÁÖº¯),37.500955,127.04179599999999
1,CCTV,¿ª»ïµ¿ 614-8,37.504353,127.02981100000001
2,CCTV,¿ª»ïµ¿ 603,37.505123,127.02948899999998
3,CCTV,¿ª»ïµ¿ 619-10,37.502332,127.02811000000001
4,CCTV,¿ª»ïµ¿ 637-41,37.501974,127.03291100000001
5,CCTV,¿ª»ïµ¿ 655-13,37.506710999999996,127.037181
6,CCTV,¿ª»ïµ¿ 667-3,37.504948999999996,127.035894
7,CCTV,¿ª»ïµ¿ 691-2,37.506575,127.04276599999999
8,CCTV,¿ª»ïµ¿ 693-14,37.508302,127.043544
9,CCTV,¿ª»ïµ¿ 704-24,37.505583,127.044954
10,CCTV,¿ª»ïµ¿ 705,37.504740000000005,127.04678899999999
11,CCTV,¿ª»ïµ¿ 815-10,37.501681,127.026753
12,CCTV,¿ª»ïµ¿ 660-9,37.505779,127.036414
13,CCTV,¿ª»ïµ¿ 671-12,37.503698,127.038839
14,CCTV,¿ª»ïµ¿ 703-9,37.504527,127.045076
15,CCTV,¿ª»ïµ¿ 735-17,37.498033,127.03345300000001
16,CCTV,¿ª»ïµ¿ 741-25,37.496808,127.03473500000001
17,CCTV,¿ª»ïµ¿ 744 (¿ª»ï¾î¸°ÀÌÁý ¾Õ),37.497463,127.035974
18,CCTV,¿ª»ïµ¿ 747,37.496190000000006,127.03713799999998
19,CCTV,¿ª»ïµ¿ 748,37.496407,127.03631200000001
20,CCTV,¿ª»ïµ¿ 751-10,37.495033,127.03573300000001
21,CCTV,¿ª»ïµ¿ 752,37.495684000000004,127.034376
22,CCTV,¿ª»ïµ¿ 794-22,37.492577000000004,127.037047
23,CCTV,¿ª»ïµ¿ 795-25 (°­³²±¸ Á¦10È£ °ø¿µÁÖÂ÷Àå ¾Õ),37.492411,127.039048
24,CCTV,¿ª»ïµ¿ 824-11,37.496863,127.03019099999999
25,CCTV,¿ª»ïµ¿ 828-11,37.496429,127.03331399999999
26,CCTV,¿ª»ïµ¿ 830-23 (¿ª»ï¹«±ÃÈ­°ø¿ø ÄÚ³Ê),37.494122,127.03239599999999
27,CCTV,¿ª»ïµ¿ 836 (ÇÑ½ººôA ¾Õ),37.492083,127.032504
28,CCTV,¿ª»ïµ¿ 836-43,37.491721000000005,127.033507
29,CCTV,¿ª»ïµ¿ 837-26 (»ïÀÏÇÁ¶óÀÚ ¿ÀÇÇ½ºÅÚ ¾Õ),37.490598,127.03312
30,CCTV,¿ª»ïµ¿ 714 (µµ¼ºÃÊ Á¤¹® ¾Õ),37.500046999999995,127.04926499999999
31,CCTV,¿ª»ïµ¿ 725-13 (»ïÈ¯º£¸£»çÀÌÀ¯ ´ãÀå),37.499322,127.03978799999999
32,CCTV,¿ª»ïµ¿ 728-10,37.498234000000004,127.03981599999999
33,CCTV,¿ª»ïµ¿ 728-40,37.497475,127.04073700000001
34,CCTV,¿ª»ïµ¿ 724-31,37.499612,127.042197
35,CCTV,¿ª»ïµ¿ 729-10,37.498511,127.041968
36,CCTV,¿ª»ïµ¿ 754-1 (¿ª»ïÇª¸£Áö¿ÀA 107µ¿ ¾Õ),37.497097,127.046425
37,CCTV,¿ª»ïµ¿ 767-20 (¿ª»ïÁß ´ãÀå),37.495971000000004,127.04941200000002
38,CCTV,¿ª»ïµ¿ 772 (ÁÖÂ÷ºôµù ¾Õ),37.499907,127.037393
39,CCTV,¿ª»ïµ¿ 774,37.496466999999996,127.04231999999999
40,CCTV,¿ª»ïµ¿ 774-20,37.496097,127.043521
41,CCTV,¿ª»ïµ¿ 776-2 (ÃÑÁö»ç ¾Õ),37.495213,127.040475
42,CCTV,¿ª»ïµ¿ 777-23,37.495173,127.042507
43,CCTV,¿ª»ïµ¿ 779-10 (Ã»¿î±³È¸ ¾Õ),37.495824,127.044886
44,CCTV,¿ª»ïµ¿ 780-25,37.495265,127.045057
45,CCTV,¿ª»ïµ¿ 782-18,37.494503,127.04276200000001
46,CCTV,¿ª»ïµ¿ 782-38,37.493705,127.04233899999998
47,CCTV,¿ª»ïµ¿ 676 (¸£³×»ó½ºÈ£ÅÚ2 ÁÖº¯),37.503459,127.040628
48,CCTV,¿ª»ïµ¿ 677-25 (¸£³×»ó½ºÈ£ÅÚ ÁÖº¯),37.502274,127.040985
49,CCTV,¿ª»ïµ¿ 619-24,37.501305,127.02761299999999
50,CCTV,¿ª»ïµ¿ 629,37.503157,127.03291100000001
51,CCTV,¿ª»ïµ¿ 673-6,37.504913,127.039367
52,CCTV,¿ª»ïµ¿ 683-10,37.50908,127.043922
53,CCTV,¿ª»ïµ¿ 683-43,37.507372,127.045123
54,CCTV,¿ª»ïµ¿ 796-1,37.493964,127.03879099999999
55,CCTV,¿ª»ïµ¿ 831-3,37.494914,127.030224
56,CCTV,¿ª»ïµ¿ 840-5,37.49136,127.03569499999999
57,CCTV,¿ª»ïµ¿ 644-18 (ÆÄ¸®¹Ù°Ô¶ß ÁÖº¯),37.501244,127.03514399999999
58,CCTV,¿ª»ïµ¿ 668-17 (GSÅ¸¿öºÏÃø ÁÖº¯),37.50223,127.03643999999998
59,CCTV,¿ª»ïµ¿ 678-35 (¿ÜÈ¯ÀºÇà ¿ª»ïÁ¡ÁöÁ¡ ÁÖº¯),37.501495,127.03838799999998
60,CCTV,¿ª»ïµ¿ 737 (°­³²ÆÄÀÌ³½½º¼¾ÅÍ ÁÖº¯),37.500248,127.035839
61,CCTV,¿ª»ïµ¿ 738-9 (ÃÖ¼ö»ç ÁÖº¯),37.499239,127.03748700000001
62,CCTV,¿ª»ïµ¿ 653 (Ä«Æäµð¾Æ¸¶Æú¶ó ÁÖº¯),37.508179,127.03738200000001
63,CCTV,¿ª»ïµ¿ 654-4 (GSÄ®ÅØ½º ÁÖº¯),37.507641,127.03921100000001
64,CCTV,¿ª»ïµ¿ 689-7 (ÅÂ½Âºôµù ÁÖº¯),37.505981,127.041381
65,CCTV,¿ª»ïµ¿ 696-43 (ºñÀüºôµù ÁÖº¯),37.505656,127.0483
66,CCTV,¿ª»ïµ¿ 700-6 (VANÀü½ÃÀå ÁÖº¯),37.504307,127.042208
67,CCTV,¿ª»ïµ¿ 701-14 (»ó·ÏÇÃ¶óÀÚ ÁÖº¯),37.504149,127.043683
68,CCTV,¿ª»ïµ¿ 824-19 (¾¾Æ¼ÀºÇà °­³²ÁöÁ¡ ÁÖº¯),37.498544,127.03029699999999
69,CCTV,¿ª»ïµ¿ 824-29 (ÇÑÀÏºôµù ÁÖº¯),37.497351,127.031726
70,CCTV,¿ª»ïµ¿ 827-68 (ÂøÇÑ°í±âÁý°õ¾¾³× ÁÖº¯),37.49573,127.032494
71,CCTV,¿ª»ïµ¿ 829-15 (½Å¼ººôµù ÁÖº¯),37.494193,127.03348999999999
72,CCTV,¿ª»ïµ¿ 717 (±ÝÀ¶°áÁ¦¿øº»»ç ÁÖº¯),37.50009,127.03888500000001
73,CCTV,¿ª»ïµ¿ 707-27 (I Tower ÁÖº¯),37.503721,127.047255
74,CCTV,¿ª»ïµ¿ 755-10 (Çª¸£Áö¿À ÁÖº¯),37.500339000000004,127.05076299999999
75,CCTV,¿ª»ïµ¿ 705-10 (¼±¸ª¿ª5¹øÃâ±¸ ÁÖº¯),37.504356,127.047725
76,CCTV,¿ª»ïµ¿ 820-9 (°­³²¿ª11¹øÃâ±¸ ÁÖº¯),37.499244,127.027274
77,CCTV,¿ª»ïµ¿ 646-20 (¿ª»ï¿ª4¹øÃâ±¸ ÁÖº¯),37.500361,127.03469199999999
78,CCTV,¿ª»ïµ¿ 773-8 (À¯Áø¾à±¹ ÁÖº¯),37.496749,127.04533400000001
79,CCTV,¿ª»ïµ¿ 788 (¿ª»ïÃ»¼Ò³â¼ö·Ã°ü ÁÖº¯),37.493449,127.04058700000002
80,CCTV,¿ª»ïµ¿ 635 (±¹±â¿ø ´ãÀå),37.502231,127.02943400000001
81,CCTV,¿ª»ïµ¿ 633-6,37.502957,127.03108799999998
82,CCTV,¿ª»ïµ¿ 669-18,37.502599,127.037653
83,CCTV,¿ª»ïµ¿ 808-3,37.504102,127.02543899999999
84,CCTV,¿ª»ïµ¿ 738,37.498544,127.036243
85,CCTV,¿ª»ïµ¿ 738-42,37.498544,127.036243
86,CCTV,¿ª»ïµ¿ 798-33,37.492717,127.039799
87,CCTV,¿ª»ïµ¿ 756-11,37.49837,127.05131999999999
88,CCTV,¿ª»ïµ¿ 608-35,37.504902,127.033147
89,CCTV,¿ª»ïµ¿ 635-2 (¿ª»ï°ø¿ø ÄÚ³Ê),37.500996,127.030178
90,CCTV,¿ª»ïµ¿ 639-9,37.502437,127.034246
91,CCTV,¿ª»ïµ¿ 663-29,37.505645,127.039679
92,CCTV,¿ª»ïµ¿ 666-1,37.505049,127.036372
93,CCTV,¿ª»ïµ¿ 674-37,37.504957,127.04069799999999
94,CCTV,¿ª»ïµ¿ 685-3,37.507534,127.042162
95,CCTV,¿ª»ïµ¿ 685-15,37.508307,127.04256799999999
96,CCTV,¿ª»ïµ¿ 695-14,37.506509,127.045717
97,CCTV,¿ª»ïµ¿ 751-1,37.49462,127.034247
98,CCTV,¿ª»ïµ¿ 792-25,37.49413,127.03633899999998
99,CCTV,¿ª»ïµ¿ 799-15,37.492139,127.03827
100,CCTV,¿ª»ïµ¿ 826-37,37.495207,127.03092600000001
101,CCTV,¿ª»ïµ¿ 834-68,37.492841,127.035025
102,CCTV,¿ª»ïµ¿ 836-21 (¿ª»ï¼Ò³ª¹«°ø¿ø ´ãÀå),37.490853,127.033925
103,CCTV,¿ª»ïµ¿ 723-26,37.499826,127.041758
104,CCTV,¿ª»ïµ¿ 757 (·¡¹Ì¾È»ó°¡),37.497298,127.051349
105,CCTV,¿ª»ïµ¿ 776-28,37.493744,127.04116200000001
106,CCTV,¿ª»ïµ¿ 784-11,37.494637,127.04541699999999
107,CCTV,¿ª»ïµ¿ 826-14 (KTB³×Æ®¿öÅ©ºôµù ÁÖº¯),37.494806,127.029424
108,CCTV,¿ª»ïµ¿ 710 (Çö´ë±î¸£¶ì¿¡¾ÆÆÄÆ® ÁÖº¯),37.501594,127.044351
109,CCTV,¿ª»ïµ¿ 835-67 (¾î¿ï¸²¾ÆÆÄÆ® ÁÖº¯),37.491493,127.034729
110,CCTV,¿ª»ïµ¿ 607-16,37.504477,127.034263
111,CCTV,¿ª»ïµ¿ 613-17,37.504766,127.031001
112,CCTV,¿ª»ïµ¿ 627-3,37.503987,127.033464
113,CCTV,¿ª»ïµ¿ 672-12,37.504732000000004,127.038748
114,CCTV,¿ª»ïµ¿ 691-9,37.505434,127.042996
115,CCTV,¿ª»ïµ¿ 694-25,37.506898,127.04638100000001
116,CCTV,¿ª»ïµ¿ 697-23,37.506578999999995,127.044997
117,CCTV,¿ª»ïµ¿ 792-53,37.49456,127.03758400000001
118,CCTV,¿ª»ïµ¿ 813-12,37.50219,127.027079
119,CCTV,¿ª»ïµ¿ 722-10,37.501026,127.042382
120,CCTV,¿ª»ïµ¿ 769-8,37.495746999999994,127.04073999999999
121,CCTV,¿ª»ïµ¿ 716 (¼¾Æ®·¹ºô¾ÆÆÄÆ® ÁÖº¯),37.502841,127.049645
122,CCTV,¿ª»ïµ¿ 663-3,37.505817,127.038394
123,CCTV,¿ª»ïµ¿ 621-27,37.501687,127.028793
124,CCTV,¿ª»ïµ¿ 687-10 (¿ª»ïÁö±¸´ë ¾Õ),37.508525,127.04106599999999
125,CCTV,¿ª»ïµ¿ 615,37.504257,127.026852
126,CCTV,¿ª»ïµ¿ 750-8,37.496115,127.035315
127,CCTV,¿ª»ïµ¿ 827-53,37.496728000000004,127.03119699999999
128,CCTV,¿ª»ïµ¿ 725-67,37.498071,127.03924599999999
129,CCTV,¿ª»ïµ¿ 757-1 (±æ¼»°ø¿ø ÄÚ³Ê),37.497713,127.04858899999999
130,CCTV,¿ª»ïµ¿ 729-25,37.497902,127.04164399999999
131,CCTV,¿ª»ïµ¿ 659-12,37.505596999999995,127.035605
132,CCTV,¿ª»ïµ¿ 791-15,37.494488,127.03887399999999
133,CCTV,¿ª»ïµ¿ 698-32,37.505733,127.04426799999999
134,CCTV,¿ª»ïµ¿ 669-10 (ÃæÇöº¹Áö°ü ¾Õ),37.503854,127.037076
135,CCTV,¿ª»ïµ¿ 704-37,37.505299,127.04566200000001
136,CCTV,¿ª»ïµ¿ 773-3,37.49753,127.04448500000001
137,CCTV,¿ª»ïµ¿ 635-5,37.500772999999995,127.02892
138,CCTV,¿ª»ïµ¿ 616-8,37.503985,127.02815
139,CCTV,¿ª»ïµ¿ 658-8,37.50713,127.036377
140,CCTV,¿ª»ïµ¿ 752-11,37.495253999999996,127.034673
141,CCTV,¿ª»ïµ¿ 657-27 (Âü»ç¶û¾î¸°ÀÌÁý ¾Õ),37.505911,127.03672399999999
142,CCTV,¿ª»ïµ¿ 820-9 (°­³²¿ª),37.499229,127.02728300000001
143,CCTV,¿ª»ïµ¿ 820-9 (°­³²¿ª),37.499234,127.02727900000001
144,CCTV,¿ª»ïµ¿ 783-19 (¿ª»ï°¡¾Ö¾î¸°ÀÌÁý ¾Õ),37.494679,127.044843
145,CCTV,¿ª»ïµ¿ 665-1,37.505646999999996,127.03791100000001
146,CCTV,¿ª»ïµ¿ 812,37.50297,127.02673700000001
147,CCTV,¿ª»ïµ¿ 824-10,37.497378000000005,127.03068999999999
148,CCTV,¿ª»ïµ¿ 835-68,37.491803999999995,127.03635
149,CCTV,¿ª»ïµ¿ 805-16,37.501968,127.04695
150,CCTV,¿ª»ïµ¿ 824-10 (¿ª»ï±îÄ¡°ø¿ø ÄÚ³Ê),37.497091,127.03093899999999
151,CCTV,¿ª»ïµ¿ 789-29,37.494001000000004,127.035684
152,CCTV,¿ª»ïµ¿ 787-8,37.493964,127.043421
153,CCTV,¿ª»ïµ¿ 763-18 (´Ù¼Ø°ø¿ø ÀÔ±¸),37.495577000000004,127.047927
154,CCTV,¿ª»ïµ¿ 755-4 (¿ª»ïe-ÆíÇÑ¼¼»óA ÁÖº¯),37.498556,127.05078600000002
155,CCTV,¿ª»ïµ¿ 670-11,37.503467,127.03803799999999
156,CCTV,¿ª»ïµ¿ 680-1 (¶ó¿ò ÁÖº¯),37.508355,127.040328
157,CCTV,¿ª»ïµ¿ 794-4,37.493575,127.03751299999999
