,ºÐ·ù,¸íÄª,À§µµ,°æµµ
0,ÆíÀÇÁ¡,GS25 °­³²¸ÞÆ®·ÎÁ¡,37.4985723,127.0280428
1,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé °­³²½ÃÆ¼3Á¡,37.4984765,127.0283403
2,ÆíÀÇÁ¡,GS25 ¿ª»ïÁö¿¡½ºÁ¡,37.50244989999999,127.0370065
3,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 R°­³²¿ª»ïÁ¡,37.5007937,127.0268277
4,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï8È£Á¡,37.5028818,127.0277567
5,ÆíÀÇÁ¡,GS25 Áö¿¡½º°­³²Á¡,37.502423,127.037589
6,ÆíÀÇÁ¡,CU M°­³²¿ªÁ¡,37.4921837,127.02905
7,ÆíÀÇÁ¡,CU ¿ª»ïº»Á¡,37.50356070000001,127.0285589
8,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï11È£Á¡,37.5048941,127.0353102
9,ÆíÀÇÁ¡,GS25 ¿ª»ï»ó·ÏÁ¡,37.5040393,127.0439836
10,ÆíÀÇÁ¡,CU ¿ª»ï°­³²Á¡,37.4997088,127.0291816
11,ÆíÀÇÁ¡,CU 925½Å³íÇö¿ªÁ¡,37.5045961,127.0250184
12,ÆíÀÇÁ¡,GS25 °­³²YBMÁ¡,37.4994466,127.0280846
13,ÆíÀÇÁ¡,CU ±¹±â¿ø»ç°Å¸®Á¡,37.4973348,127.0318458
14,ÆíÀÇÁ¡,GS25 °­³²½ÃÆ¼ÈúÁ¡,37.5009906,127.0279221
15,ÆíÀÇÁ¡,CU ¿ª»ï¿ªÃÌÁ¡,37.5059304,127.0331185
16,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì KT°­³²Á¡,37.5046955,127.0412371
17,ÆíÀÇÁ¡,CU ¿ª»ïÁ¡,37.5047409,127.0469651
18,ÆíÀÇÁ¡,GS25 ¿ª»ïÃæÇöÁ¡,37.5057148,127.0377235
19,ÆíÀÇÁ¡,GS25 ¿ª»ï·ÎÁ¡,37.4933603,127.030415
20,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì °­³²¿ª»ïÁ¡,37.5073557,127.0420468
21,ÆíÀÇÁ¡,GS25 Áö¿¡½ºº»Á¡,37.5018235,127.0358813
22,ÆíÀÇÁ¡,GS25 ¿ª»ïÇÁ¸®¹Ì¾öÁ¡,37.50286870000001,127.0389781
23,ÆíÀÇÁ¡,GS25 °­³²Å¸¿îÁ¡,37.4990162,127.029877
24,ÆíÀÇÁ¡,CU ¿ª»ï¿¡Å¬¶óÆ®Á¡,37.4985127,127.035022
25,ÆíÀÇÁ¡,CU ¿ª»ïÇª¸£Áö¿ÀÁ¡,37.4969176,127.0463589
26,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé ¿ª»ïÅ¸¿öÁ¡,37.496674,127.030124
27,ÆíÀÇÁ¡,GS25 S°­³²¿ª2È£Á¡,37.4872446,127.0327813
28,ÆíÀÇÁ¡,GS25 °­³²º»Á¡,37.4976053,127.0286852
29,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé °­³²¼¾ÅÍÁ¡,37.4997792,127.0274413
30,ÆíÀÇÁ¡,GS25 Â÷º´¿øº»Á¡,37.5065713,127.0348
31,ÆíÀÇÁ¡,GS25 ¿ª»ïÅ¸¿îÁ¡,37.4963917,127.0447167
32,ÆíÀÇÁ¡,CU ¿ª»ï¿ìÀÎÁ¡,37.4964436,127.0293143
33,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïGFCÁ¡,37.4999821,127.0364005
34,ÆíÀÇÁ¡,GS25 ¿ª»ïºí·çÁ¡,37.4933226,127.038799
35,ÆíÀÇÁ¡,GS25 ¿ª»ïÂü¸¶À»Á¡,37.4975261,127.0376125
36,ÆíÀÇÁ¡,GS25 ¿ª»ï½ºÅ¸Á¡,37.4990343,127.037039
37,ÆíÀÇÁ¡,GS25 S°­³²¿ª1È£Á¡,37.4872446,127.0327813
38,ÆíÀÇÁ¡,GS25 °­³²¿ª½ÅºÐ´ç¼±B,37.4872446,127.0327813
39,ÆíÀÇÁ¡,GS25 ¿ª»ï¿ì¸®Á¡,37.4978058,127.0417651
40,ÆíÀÇÁ¡,GS25 ¿ª»ïÄ³ÇÇÅ»Á¡,37.49933680000001,127.034909
41,ÆíÀÇÁ¡,GS25 ¿ª»ï2Á¡,37.4940425,127.0355007
42,ÆíÀÇÁ¡,½ºÅ¸ÆíÀÇÁ¡,37.503099,127.02555
43,ÆíÀÇÁ¡,GS25 ¿ª»ï´ë·ÎÁ¡,37.4965541,127.0404149
44,ÆíÀÇÁ¡,CU ¿ª»ï¼ºº¸Á¡,37.5023634,127.0448872
45,ÆíÀÇÁ¡,GS25 °­³²¸®Ã÷Ä®Æ°Á¡,37.5035911,127.0269451
46,ÆíÀÇÁ¡,CU ¿ª»ï»ïºÎÀÚÁ¡,37.5056753,127.0441765
47,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÅ¸¿îÁ¡,37.4969468,127.0309047
48,ÆíÀÇÁ¡,GS25 ¿ª»ï»ç¶ûÁ¡,37.5059151,127.0465317
49,ÆíÀÇÁ¡,GS25 ¿ª»ïÇàº¹Á¡,37.4955112,127.0439151
50,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÇÑ¼­Á¡,37.5004701,127.042167
51,ÆíÀÇÁ¡,CU M¿ª»ï¿ªÁ¡,37.4981284,127.028303
52,ÆíÀÇÁ¡,GS25 °­³²ÅÂ¾çÁ¡,37.5029389,127.0268529
53,ÆíÀÇÁ¡,GS25 ¿ª»ïÈæ·æÁ¡,37.4954152,127.03499
54,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÅä¸¶ÅäÁ¡,37.5025597,127.044093
55,ÆíÀÇÁ¡,CU ¿ª»ïÇÑ¼­Á¡,37.498166,127.0390723
56,ÆíÀÇÁ¡,CU ¿ª»ïÇÏ³ªÁ¡,37.5042701,127.0341442
57,ÆíÀÇÁ¡,CU ¼±¸ªSKÇãºêÁ¡,37.5033975,127.0490938
58,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï5È£Á¡,37.4949057,127.0356326
59,ÆíÀÇÁ¡,GS25 ¿ª»ïº»Á¡,37.5023232,127.0388245
60,ÆíÀÇÁ¡,GS25 °­³²¾ÆÆ®Á¡,37.50337529999999,127.0284261
61,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÇÁ·¹½ºÆ¼Á¡,37.4948359,127.0303638
62,ÆíÀÇÁ¡,CU ¿ª»ïº¢²É±æÁ¡,37.491271,127.035067
63,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÃ¢Á¶Á¡,37.49907109999999,127.0362499
64,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 °­³²¿ªÁ¡,37.4972496,127.0328393
65,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïº¸ºêÁ¡,37.5046821,127.0261332
66,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÇÑÀºÁ¡,37.5009681,127.038714
67,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï¿µÈ­Á¡,37.4967146,127.0375449
68,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé ¿ª»ïµð¿ÀºôÁ¡,37.5013301,127.0424655
69,ÆíÀÇÁ¡,GS25 °­³²½¦¸£ºôÁ¡,37.4872446,127.0327813
70,ÆíÀÇÁ¡,GS25 ¿ª»ï½Ì¾ÆÁ¡,37.49579,127.0405163
71,ÆíÀÇÁ¡,GS25 ¿ª»ïÇÁ¶óÀÓÁ¡,37.5029341,127.039812
72,ÆíÀÇÁ¡,GS25 ¿ª»ï´ëÈ«Á¡,37.4924317,127.0392871
73,ÆíÀÇÁ¡,CU °­³²¼¾Å¸Á¡,37.4974272,127.0283935
74,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ïÀÚÀÌÁ¡,37.5091043,127.0400763
75,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï14È£Á¡,37.5051353,127.029989
76,ÆíÀÇÁ¡,CU ¿ª»ï°æ³²Á¡,37.5004607,127.0424651
77,ÆíÀÇÁ¡,CU °­³²½ÃÆ¼Á¡,37.5042746,127.0447277
78,ÆíÀÇÁ¡,CU ¿ª»ï°ÇÈ­Á¡,37.4934473,127.0419595
79,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï18È£Á¡,37.4948035,127.0451011
80,ÆíÀÇÁ¡,GS25 ¿ª»ïÈ¿¼ºÁ¡,37.4971279,127.030383
81,ÆíÀÇÁ¡,GS25 ¿ª»ï¸íÁøÁ¡,37.4933833,127.0365382
82,ÆíÀÇÁ¡,GS25 ¿ª»ïÇý¼ºÁ¡,37.5004401,127.0406072
83,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ÇÑ½ÅÁ¡,37.5033867,127.0465507
84,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì °­³²Çª¸£Áö¿À½ÃÆ¼Á¡,37.497689,127.029031
85,ÆíÀÇÁ¡,CU ¿ª»ïÈ­¶ûÁ¡,37.4946782,127.0376559
86,ÆíÀÇÁ¡,GS25 ¿ª»ï¾Æ¿öÈ¨Á¡,37.4942198,127.0316173
87,ÆíÀÇÁ¡,GS25 ¿ª»ïÇÏ³ªÁ¡,37.4923761,127.0356714
88,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì °­³²ICÁ¡,37.4997517,127.031107
89,ÆíÀÇÁ¡,GS25 ¿ª»ï¿ùµåÁ¡,37.4985129,127.0479773
90,ÆíÀÇÁ¡,CU °­³²Çª¸£Áö¿ÀÁ¡,37.497689,127.029031
91,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé ¿ª»ïÅÂ±ØÁ¡,37.5087501,127.021665
92,ÆíÀÇÁ¡,GS25 ¿ª»ï¾Æ¸£´©º¸Á¡,37.5033508,127.0428628
93,ÆíÀÇÁ¡,GS25 °­³²½Ö¿ëÁ¡,37.4954056,127.0304109
94,ÆíÀÇÁ¡,GS25 ¿ª»ï¶òµ¿Á¡,37.5051125,127.0424329
95,ÆíÀÇÁ¡,GS25 ¿ª»ï¼Ò¸ÁÁ¡,37.50540400000001,127.033641
96,ÆíÀÇÁ¡,CU ¿ª»ïÇª¸¥Á¡,37.490414,127.0323053
97,ÆíÀÇÁ¡,CU ¼±¸ªÁ¦ÀÏÁ¡,37.5055164,127.0477029
98,ÆíÀÇÁ¡,GS25 °­³²NÅ¸¿öÁ¡,37.4997777,127.0324107
99,ÆíÀÇÁ¡,GS25 °­³²»ç¶ûÁ¡,37.4961175,127.0354853
100,ÆíÀÇÁ¡,CU Å«±æÅ¸¿öÁ¡,37.5023634,127.0406629
101,ÆíÀÇÁ¡,CU ¿ª»ïÅ¸¿îÁ¡,37.4986676,127.0430309
102,ÆíÀÇÁ¡,GS25 ¿ª»ï¸£³×»ó½ºÁ¡,37.5015439,127.0413263
103,ÆíÀÇÁ¡,GS25 ¿ª»ïÁ¦ÀÏÁ¡,37.5077891,127.0400551
104,ÆíÀÇÁ¡,GS25 ¿ª»ï¹Ì¼ÒÁ¡,37.5055241,127.0332289
105,ÆíÀÇÁ¡,CU ¿ª»ïÅÂ¾çÁ¡,37.502699,127.0277076
106,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì°­³²SLIÁ¡,37.49840810000001,127.0511905
107,ÆíÀÇÁ¡,CU ¿ª»ï»ç¶ûÁ¡,37.5069682,127.04082
108,ÆíÀÇÁ¡,GS25 °­³²ÅÂ°­Á¡,37.4981623,127.032323
109,ÆíÀÇÁ¡,CU ¿ª»ïÆ÷½ºÆ¿Á¡,37.4990484,127.0341289
110,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÁø¼±Á¡,37.5028306,127.0488465
111,ÆíÀÇÁ¡,GS25 Áö¿¡½ºÅ¸¿öÁ¡,37.502223,127.0380171
112,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï¼¼ºê¶õ½ºÁ¡,37.4940215,127.0432191
113,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï·¡¹Ì¾ÈÁ¡B,37.516542,127.038354
114,ÆíÀÇÁ¡,GS25 Áö¿¡½º»ç¶ûÁ¡,37.5009518,127.0394856
115,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ïÀº¼ºÁ¡,37.4945895,127.040932
116,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ï½ºÅ¸°ø¿øÁ¡,37.4968681,127.0351425
117,ÆíÀÇÁ¡,CU ¿ª»ï¹Ì·¡Á¡,37.5038298,127.0388221
118,ÆíÀÇÁ¡,GS25 ¿ª»ï±â»ÝÁ¡,37.5099316,127.0321881
119,ÆíÀÇÁ¡,CU ¿ª»ï°æº¹Á¡,37.5086697,127.0404171
120,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 Çª¸£µ§¼ÈÅ¸¿öÁ¡,37.4899692,127.032129
121,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï10È£Á¡,37.5007271,127.0337013
122,ÆíÀÇÁ¡,CU ¿ª»ï½Å¿õÁ¡,37.50141199999999,127.040169
