,분류,명칭,위도,경도
0,보안등,역삼1동833,37.4933487196,127.032033186
1,보안등,역삼1동833,37.4933487196,127.032033186
2,보안등,역삼1동833,37.4933487196,127.032033186
3,보안등,역삼1동833,37.4933487196,127.032033186
4,보안등,역삼1동833,37.4933487196,127.032033186
5,보안등,역삼1동832-25,37.49283351,127.03141329399999
6,보안등,역삼1동832-27,37.4926316591,127.031508196
7,보안등,역삼1동832-28,37.4924802706,127.03158050200001
8,보안등,역삼1동832-28,37.4924802706,127.03158050200001
9,보안등,역삼1동832-29,37.4923433006,127.031643768
10,보안등,역삼1동832-31,37.4920297367,127.03169339
11,보안등,역삼1동832-31,37.4920297367,127.03169339
12,보안등,역삼1동837-33,37.4915755437,127.03200981399999
13,보안등,역삼1동837-15,37.4918998658,127.03215921399999
14,보안등,역삼1동837-16,37.4919574771,127.032353732
15,보안등,역삼1동836,37.4919753184,127.03300054299999
16,보안등,역삼1동836-1,37.4916221664,127.032846603
17,보안등,역삼1동836-2,37.4916617717,127.032986836
18,보안등,역삼1동836-14,37.4914851489,127.03307722
19,보안등,역삼1동836-15,37.491441941,127.032932463
20,보안등,역삼1동836-25,37.4909084751,127.033180995
21,보안등,역삼1동840-1,37.491163732800004,127.03534765
22,보안등,역삼1동840-3,37.4912501426,127.035637167
23,보안등,역삼1동840-5,37.4913221492,127.035881446
24,보안등,역삼1동840-5,37.4913221492,127.035881446
25,보안등,역삼1동835-51,37.4916536441,127.036130374
26,보안등,역삼1동799,37.4915885846,127.036736435
27,보안등,역삼1동835-52,37.4917148543,127.036320373
28,보안등,역삼1동793-52,37.4919418398,127.036542115
29,보안등,역삼1동835-68,37.4923096847,127.03577788700001
30,보안등,역삼1동793-33,37.4921904631,127.036718637
31,보안등,역삼1동835-68,37.4923096847,127.03577788700001
32,보안등,역삼1동835-68,37.4923096847,127.03577788700001
33,보안등,역삼1동835-12,37.4917836312,127.03532985
34,보안등,역삼1동835-12,37.4917836312,127.03532985
35,보안등,역삼1동834-23,37.4928722342,127.034701644
36,보안등,역삼1동834-24,37.4929695562,127.03465645799999
37,보안등,역삼1동834-68,37.493052322,127.03508619700001
38,보안등,역삼1동834-72,37.4933118549,127.03494157600001
39,보안등,역삼1동834-72,37.4933118549,127.03494157600001
40,보안등,역삼1동834-73,37.4934560308,127.03489188799999
41,보안등,역삼1동834-52,37.493852535100004,127.034684005
42,보안등,역삼1동834-75,37.493574985,127.034819572
43,보안등,역삼1동834-54,37.493989381300004,127.03504592600001
